Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	StopIter	Time
180	61.310005	15.590576	69.2	21.55	255.53334	724000	5.0	11199.530828237534
181	68.9923	0.20554388	69.5	68.6	294.69232	728000	3.0	11262.706607580185
182	63.113335	15.020646	69.3	21.1	261.66666	732000	8.0	11328.421088218689
183	65.4625	9.247694	69.2	41.0	478.5	736000	10.0	11396.22331237793
184	67.2	6.8180757	69.7	43.6	293.07693	740000	8.0	11464.961390972137
185	53.371433	19.030592	69.5	21.1	284.14285	744000	6.0	11533.146196842194
186	63.014286	9.766404	69.3	43.3	254.42857	748000	5.0	11599.673248529434
187	57.675003	11.475053	69.2	46.2	955.75	752000	19.0	11666.86490535736
188	66.67	7.6926007	69.7	43.6	305.6	756000	13.0	11732.05857515335
189	63.649998	12.702985	69.3	28.7	332.25	760000	19.0	11797.637552022934
190	66.25715	10.391185	69.3	28.8	276.07144	764000	5.0	11858.786428928375
191	64.7875	12.932994	69.4	17.7	240.6875	768000	4.0	11918.580562114716
192	69.12668	0.15691398	69.3	68.8	255.86667	772000	4.0	11977.881490468979
193	65.45	8.981866	69.3	43.4	258.07144	776000	8.0	12037.50631070137
194	64.175	13.259644	69.4	26.3	242.8125	780000	4.0	12096.76742696762
195	57.51111	21.815765	69.3	12.3	386.1111	784000	2.0	12155.595684289932
196	69.183334	0.22298554	69.6	68.7	329.91666	788000	4.0	12215.42648100853
197	67.888885	3.6421745	69.6	57.6	439.22223	792000	2.0	12275.000493764877
198	65.72142	12.265176	69.3	21.5	278.57144	796000	7.0	12335.247469902039
199	65.95332	12.01465	69.4	21.0	260.6	800000	7.0	12395.591601371765
200	61.65454	18.228666	69.3	6.9	359.27274	804000	7.0	12455.842138290405
201	69.079994	0.13759813	69.2	68.6	263.6	808000	5.0	12516.06830072403
202	62.290905	14.795235	69.4	21.6	344.72726	812000	11.0	12576.778997898102
203	56.324993	19.740204	69.2	21.9	376.2	816000	19.0	12637.939045906067
204	67.69333	5.026259	69.2	48.9	261.13333	820000	7.0	12698.570816040039
205	64.635704	11.081363	69.3	32.6	271.35715	824000	19.0	12759.995488166809
206	69.09166	0.075920865	69.3	69.0	256.0	828000	11.0	12820.876539707184
207	68.89091	0.26095757	69.2	68.4	361.0	832000	5.0	12880.162886619568
208	53.508823	23.209558	69.4	6.5	224.70589	836000	12.0	12940.418833971024
209	52.80714	19.75631	69.2	21.25	384.42856	840000	19.0	13001.164144515991
210	69.09999	7.6293945e-06	69.1	69.1	249.53334	844000	9.0	13061.16300034523
211	69.09999	7.6293945e-06	69.1	69.1	250.66667	848000	4.0	13123.271075487137
212	69.086655	0.0805524	69.2	68.8	252.73334	852000	4.0	13188.891890764236
213	69.10909	0.21086201	69.4	68.8	363.63635	856000	4.0	13256.066208839417
214	58.420002	19.45803	69.4	7.0	255.33333	860000	7.0	13325.496589660645
215	60.364285	14.543806	69.4	29.0	281.14285	864000	7.0	13389.61894083023
216	61.78666	18.844269	69.2	7.1	240.93333	868000	6.0	13450.382286548615
217	56.176468	21.01489	69.3	7.55	221.23529	872000	5.0	13510.231475830078
218	65.98666	11.783313	69.6	21.9	251.6	876000	8.0	13569.974460601807
219	60.879993	17.095816	69.2	17.6	236.13333	880000	10.0	13629.809585571289
220	61.383327	14.744536	69.6	21.6	321.83334	884000	5.0	13688.92437672615
221	65.635704	12.325152	69.3	21.2	281.7143	888000	7.0	13748.426963567734
222	62.668747	17.53385	69.5	6.2	235.4375	892000	9.0	13808.813298225403
223	65.799995	13.0133095	69.2	15.4	245.875	896000	4.0	13868.207126617432
224	66.85625	8.665013	69.2	33.3	247.25	900000	3.0	13927.374689340591
225	69.10625	0.024205776	69.2	69.1	249.0	904000	3.0	13986.599227190018
226	43.029163	27.097635	69.2	9.2	331.83334	908000	1.0	14045.384858846664
227	66.58125	9.755076	69.1	28.8	241.625	912000	2.0	14104.535989284515
228	69.1	0.0	69.1	69.1	249.0	916000	4.0	14163.856986761093
229	57.15	0.050001144	57.2	57.1	1604.0	920000	19.0	14224.361651659012
230	57.2	0.0	57.2	57.2	1604.0	924000	19.0	14284.985393762589
231	57.1	0.0	57.1	57.1	1604.0	928000	19.0	14346.132998228073
232	47.63333	13.52931	57.2	28.5	1114.3334	932000	3.0	14406.82823896408
233	43.06154	15.116599	69.2	33.3	292.53845	936000	1.0	14470.814811706543
234	57.300003	0.10000038	57.4	57.2	1604.0	940000	6.0	14537.556188106537
235	68.884605	0.24446625	69.3	68.6	298.30768	944000	6.0	14606.784612417221
236	68.66875	0.18275212	69.2	68.6	244.5625	948000	5.0	14676.317473649979
237	68.83333	0.24944381	69.1	68.6	263.33334	952000	3.0	14744.237827062607
238	64.77332	15.682496	69.1	6.1	264.26666	956000	2.0	14808.314020395279
239	67.92	3.573457	69.2	57.2	394.3	960000	3.0	14869.76160955429
240	46.82143	22.213795	69.1	6.85	509.85715	964000	2.0	14929.752090454102
241	58.319996	13.222768	69.1	41.0	753.2	968000	1.0	14989.00337600708
242	65.44545	11.556686	69.1	28.9	238.54546	972000	3.0	15048.784362316132
243	69.035706	0.17971057	69.2	68.6	268.35715	976000	4.0	15109.495254039764
244	65.88999	8.129999	68.6	41.5	380.0	980000	1.0	15169.463980674744
245	48.329166	25.060596	68.6	10.55	321.08334	984000	1.0	15229.03309750557
246	62.683334	8.44283	68.6	48.9	465.16666	988000	1.0	15288.73335981369
247	59.100002	17.737852	68.6	17.7	416.85715	992000	2.0	15348.170584917068
248	68.65625	0.14986995	69.1	68.6	244.0	996000	1.0	15407.646840333939
249	68.59999	7.6293945e-06	68.6	68.6	244.0	1000000	1.0	15466.974041700363
250	68.725	0.21650635	69.1	68.6	245.25	1004000	2.0	15526.186817407608
251	69.05	0.1767771	69.3	68.6	247.9375	1008000	5.0	15585.817618846893
252	66.587494	9.730934	69.2	28.9	242.0625	1012000	3.0	15645.140299320221
253	69.09999	7.6293945e-06	69.1	69.1	249.0	1016000	3.0	15704.45070362091
254	67.909996	3.5373576	69.2	57.3	387.7	1020000	10.0	15764.303517580032
255	69.119995	0.03999939	69.2	69.1	250.86667	1024000	2.0	15823.525713205338
256	69.09999	0.13008945	69.3	68.7	256.07693	1028000	3.0	15884.266520261765
257	64.51818	9.981147	69.8	43.3	348.9091	1032000	1.0	15946.94985818863
258	69.166664	0.30550465	69.6	68.5	364.55554	1036000	7.0	16012.801522493362
259	65.3875	14.380014	69.5	9.7	249.375	1040000	14.0	16080.450983762741
260	64.74285	12.485289	70.0	23.0	259.5	1044000	8.0	16149.196663618088
261	67.475	5.0979776	69.7	54.0	474.5	1048000	12.0	16219.550430297852
262	69.15	0.25980806	69.5	68.7	317.5	1052000	7.0	16287.341552734375
263	69.166664	0.37490755	69.7	68.5	325.16666	1056000	2.0	16353.562716007233
264	67.526665	6.4247923	69.8	43.5	265.86667	1060000	8.0	16418.981312274933
265	63.45385	13.826207	69.6	28.8	291.3846	1064000	4.0	16481.95743703842
266	67.230774	6.940559	69.5	43.2	255.92308	1068000	6.0	16544.511232852936
267	67.97858	4.6872444	69.7	51.1	272.7143	1072000	4.0	16605.16482114792
268	69.11539	0.25972196	69.7	68.7	297.23077	1076000	3.0	16665.144294261932
269	66.675	9.807108	69.5	28.7	249.0625	1080000	4.0	16724.793823957443
270	69.20667	0.32957825	69.5	68.3	255.73334	1084000	4.0	16784.18914604187
271	63.419994	15.048819	69.5	21.6	253.86667	1088000	5.0	16843.67494249344
272	63.394123	16.32726	69.5	16.1	232.11765	1092000	4.0	16903.073338270187
273	64.87858	15.998178	69.6	7.2	276.42856	1096000	8.0	16962.860404014587
274	67.566666	6.437046	69.7	43.5	260.8	1100000	9.0	17022.755934238434
275	64.17647	15.76797	69.7	6.0	234.88235	1104000	9.0	17082.730150461197
276	52.363155	25.36631	69.5	6.2	205.3158	1108000	9.0	17142.69869494438
277	59.316666	22.720385	69.5	-0.9	219.22223	1112000	7.0	17202.81414937973
278	59.711765	15.663967	69.5	21.2	230.47058	1116000	5.0	17262.98208451271
279	69.38667	0.0956842	69.5	69.2	251.66667	1120000	5.0	17322.42387151718
280	67.0	8.857836	69.6	32.7	248.5	1124000	7.0	17382.111479759216
281	65.85333	8.7882395	69.5	43.4	252.13333	1128000	3.0	17441.309304714203
282	64.95	17.081093	69.6	-1.2	235.625	1132000	4.0	17500.70690226555
283	64.79286	16.141096	69.7	6.6	271.57144	1136000	5.0	17560.388254642487
284	67.821434	5.121827	69.6	49.4	274.5	1140000	5.0	17620.223664999008
285	40.158333	16.845844	69.3	15.4	320.33334	1144000	19.0	17682.13942527771
286	57.25294	21.699196	69.6	6.65	227.05882	1148000	3.0	17742.55136013031
287	68.1	4.395168	69.7	51.1	248.5	1152000	3.0	17805.143607378006
288	69.12308	0.11200183	69.3	68.9	290.30768	1156000	6.0	17870.204833745956
289	63.765625	11.529211	69.5	33.45	249.8125	1160000	5.0	17937.220902442932
290	69.19333	0.07717388	69.3	69.1	252.6	1164000	4.0	18005.221925497055
291	65.25625	15.196914	69.4	6.4	237.4375	1168000	7.0	18073.321925640106
292	63.478573	11.060236	69.3	32.2	271.85715	1172000	16.0	18142.474339723587
